№ з/п,"Набори даних, які підлягають оприлюдненню у формі відкритих даних",Розпорядник інформації,посилання на opedata.kremen.gov.ua,посилання на data.gov.ua
29,"Дані про об’єкти та засоби торгівлі (пересувна, сезонна та інші)","Управління розвитку підприємництва, торгівлі, побуту та регуляторної політики / Архітектура",https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%BE%D0%B1%E2%80%99%D1%94%D0%BA%D1%82%D0%B8-%D1%82%D0%B0-%D0%B7%D0%B0%D1%81%D0%BE%D0%B1%D0%B8-%D1%82%D0%BE%D1%80%D0%B3%D1%96%D0%B2%D0%BB%D1%96-%D0%BF%D0%B5%D1%80%D0%B5%D1%81%D1%83%D0%B2%D0%BD%D0%B0-%D1%81%D0%B5%D0%B7%D0%BE%D0%BD%D0%BD%D0%B0-%D1%82%D0%B0-%D1%96%D0%BD%D1%88%D1%96 ,N/A
30,Відомості щодо схем розміщення засобів сезонної торгівлі,"Управління розвитку підприємництва, торгівлі, побуту та регуляторної політики",https://opendata.kremen.gov.ua/dataset/%D0%B2%D1%96%D0%B4%D0%BE%D0%BC%D0%BE%D1%81%D1%82%D1%96-%D1%89%D0%BE%D0%B4%D0%BE-%D1%81%D1%85%D0%B5%D0%BC-%D1%80%D0%BE%D0%B7%D0%BC%D1%96%D1%89%D0%B5%D0%BD%D0%BD%D1%8F-%D0%B7%D0%B0%D1%81%D0%BE%D0%B1%D1%96%D0%B2-%D1%81%D0%B5%D0%B7%D0%BE%D0%BD%D0%BD%D0%BE%D1%97-%D1%82%D0%BE%D1%80%D0%B3%D1%96%D0%B2%D0%BB%D1%96,https://data.gov.ua/dataset/e0876eb7-8c6d-4f6d-916e-08e99c4fa897
31,"Відомості про ярмарки (строк проведення, місце, кількість місць, вартість місць), організаторів ярмарків, договори, укладені з організаторами таких ярмарків","Управління розвитку підприємництва, торгівлі, побуту та регуляторної політики",https://opendata.kremen.gov.ua/dataset/%D0%B2%D1%96%D0%B4%D0%BE%D0%BC%D0%BE%D1%81%D1%82%D1%96-%D1%89%D0%BE%D0%B4%D0%BE-%D1%8F%D1%80%D0%BC%D0%B0%D1%80%D0%BA%D1%96%D0%B2,https://data.gov.ua/dataset/a081b871-a113-4e60-abe6-acadd8526a2c
32,Дані про розміщення громадських вбиралень,Департамент житлово-комунального господарства,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D1%80%D0%BE%D0%B7%D0%BC%D1%96%D1%89%D0%B5%D0%BD%D0%BD%D1%8F-%D0%B3%D1%80%D0%BE%D0%BC%D0%B0%D0%B4%D1%81%D1%8C%D0%BA%D0%B8%D1%85-%D0%B2%D0%B1%D0%B8%D1%80%D0%B0%D0%BB%D0%B5%D0%BD%D1%8C,N/A
33,"Відомості щодо залучення пайової участі (як у забезпечення розвитку інженерно-транспортної інфраструктури, так і в утримання об’єктів благоустрою)","Управління розвитку підприємництва, торгівлі, побуту та регуляторної політики",https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D1%83%D0%BA%D0%BB%D0%B0%D0%B4%D0%B5%D0%BD%D0%B8%D1%85-%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D1%96%D0%B2-%D0%BF%D1%80%D0%BE-%D0%BF%D0%B0%D0%B9%D0%BE%D0%B2%D1%83-%D1%83%D1%87%D0%B0%D1%81%D1%82%D1%8C-%D0%B2-%D1%83%D1%82%D1%80%D0%B8%D0%BC%D0%B0%D0%BD%D0%BD%D1%96-%D0%BE%D0%B1%D1%94%D0%BA%D1%82%D1%96%D0%B2-%D0%B1%D0%BB%D0%B0%D0%B3%D0%BE%D1%83%D1%81%D1%82%D1%80%D0%BE%D1%8E,N/A
34,"Перелік перевізників, що надають послуги пасажирського автомобільного транспорту, та маршрути перевезення",Відділ транспорту,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D1%96%D0%B7%D0%BD%D0%B8%D0%BA%D1%96%D0%B2-%D1%89%D0%BE-%D0%BD%D0%B0%D0%B4%D0%B0%D1%8E%D1%82%D1%8C-%D0%BF%D0%BE%D1%81%D0%BB%D1%83%D0%B3%D0%B8-%D0%BF%D0%B0%D1%81%D0%B0%D0%B6%D0%B8%D1%80%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE-%D0%B0%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D1%96%D0%BB%D1%8C%D0%BD%D0%BE%D0%B3%D0%BE-%D1%82%D1%80%D0%B0%D0%BD%D1%81%D0%BF%D0%BE%D1%80%D1%82%D1%83-%D1%82%D0%B0-%D0%BC%D0%B0%D1%80%D1%88%D1%80%D1%83%D1%82%D1%96%D0%B2,https://data.gov.ua/dataset/5ed93d8b-9f68-4786-9b36-eb50c1a7f12c 
35,"Відомості щодо транспортних засобів, які обслуговують пасажирські автобусні, тролейбусні та трамвайні маршрути перевезення (кількість транспортних засобів на кожному маршруті, марка, модель, державний номер, пасажиромісткість)",Відділ транспорту,https://opendata.kremen.gov.ua/dataset/%D0%B2%D1%96%D0%B4%D0%BE%D0%BC%D0%BE%D1%81%D1%82%D1%96-%D0%BF%D1%80%D0%BE-%D1%82%D1%80%D0%B0%D0%BD%D1%81%D0%BF%D0%BE%D1%80%D1%82%D0%BD%D1%96-%D0%B7%D0%B0%D1%81%D0%BE%D0%B1%D0%B8-%D1%8F%D0%BA%D1%96-%D0%BE%D0%B1%D1%81%D0%BB%D1%83%D0%B3%D0%BE%D0%B2%D1%83%D1%8E%D1%82%D1%8C-%D0%BF%D0%B0%D1%81%D0%B0%D0%B6%D0%B8%D1%80%D1%81%D1%8C%D0%BA%D1%96-%D0%B0%D0%B2%D1%82%D0%BE%D0%B1%D1%83%D1%81%D0%BD%D1%96-%D0%BC%D0%B0%D1%80%D1%88%D1%80%D1%83%D1%82%D0%B8-%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%B5%D0%B7%D0%B5%D0%BD%D0%BD%D1%8F ,N/A
36,Розклад руху громадського транспорту,Відділ транспорту,https://opendata.kremen.gov.ua/dataset/%D1%80%D0%BE%D0%B7%D0%BA%D0%BB%D0%B0%D0%B4-%D1%80%D1%83%D1%85%D1%83-%D0%B3%D1%80%D0%BE%D0%BC%D0%B0%D0%B4%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE-%D1%82%D1%80%D0%B0%D0%BD%D1%81%D0%BF%D0%BE%D1%80%D1%82%D1%83-%D0%BD%D0%B0-%D0%BC%D1%96%D1%81%D1%8C%D0%BA%D0%B8%D1%85-%D0%BC%D0%B0%D1%80%D1%88%D1%80%D1%83%D1%82%D0%B0%D1%85,N/A
37,Дані про місце розміщення зупинок міського електро- та автомобільного транспорту,"Відділ транспорту, архітектура",https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%BC%D1%96%D1%81%D1%86%D0%B5-%D1%80%D0%BE%D0%B7%D0%BC%D1%96%D1%89%D0%B5%D0%BD%D0%BD%D1%8F-%D0%B7%D1%83%D0%BF%D0%B8%D0%BD%D0%BE%D0%BA-%D0%BC%D1%96%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE-%D0%B5%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE-%D1%82%D0%B0-%D0%B0%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D1%96%D0%BB%D1%8C%D0%BD%D0%BE%D0%B3%D0%BE-%D1%82%D1%80%D0%B0%D0%BD%D1%81%D0%BF%D0%BE%D1%80%D1%82%D1%83 ,N/A
38,"Перелік земельних ділянок, що пропонуються для здійснення забудови",Управління земельних ресурсів,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D0%B7%D0%B5%D0%BC%D0%B5%D0%BB%D1%8C%D0%BD%D0%B8%D1%85-%D0%B4%D1%96%D0%BB%D1%8F%D0%BD%D0%BE%D0%BA-%D1%89%D0%BE-%D0%BF%D1%80%D0%BE%D0%BF%D0%BE%D0%BD%D1%83%D1%8E%D1%82%D1%8C%D1%81%D1%8F-%D0%B4%D0%BB%D1%8F-%D0%B7%D0%B4%D1%96%D0%B9%D1%81%D0%BD%D0%B5%D0%BD%D0%BD%D1%8F-%D0%B7%D0%B0%D0%B1%D1%83%D0%B4%D0%BE%D0%B2%D0%B8,https://data.gov.ua/dataset/18cd492e-79c9-4602-aa7a-a4339674a147 
39,"Перелік укладених договорів, укладені договори, інші правочини, додатки, додаткові угоди та інші матеріали до них",Управління бухгалтерського обліку та звітності,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D1%83%D0%BA%D0%BB%D0%B0%D0%B4%D0%B5%D0%BD%D0%B8%D1%85-%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D1%96%D0%B2-%D1%83%D0%BA%D0%BB%D0%B0%D0%B4%D0%B5%D0%BD%D1%96-%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D0%B8-%D1%96%D0%BD%D1%88%D1%96-%D0%BF%D1%80%D0%B0%D0%B2%D0%BE%D1%87%D0%B8%D0%BD%D0%B8-%D0%B4%D0%BE%D0%B4%D0%B0%D1%82%D0%BA%D0%B8-%D0%B4%D0%BE%D0%B4%D0%B0%D1%82%D0%BA%D0%BE%D0%B2%D1%96-%D1%83%D0%B3%D0%BE%D0%B4%D0%B8-%D1%82%D0%B0-104,https://data.gov.ua/dataset/20cd043b-665b-45fa-9fcc-75133e66c5e4 
40,Актуальні списки власників/орендарів місцевих земельних ділянок,Управління земельних ресурсів,https://opendata.kremen.gov.ua/dataset/%D0%B0%D0%BA%D1%82%D1%83%D0%B0%D0%BB%D1%8C%D0%BD%D1%96-%D1%81%D0%BF%D0%B8%D1%81%D0%BA%D0%B8-%D0%BE%D1%80%D0%B5%D0%BD%D0%B4%D0%B0%D1%80%D1%96%D0%B2-%D0%BC%D1%96%D1%81%D1%86%D0%B5%D0%B2%D0%B8%D1%85-%D0%B7%D0%B5%D0%BC%D0%B5%D0%BB%D1%8C%D0%BD%D0%B8%D1%85-%D0%B4%D1%96%D0%BB%D1%8F%D0%BD%D0%BE%D0%BA,N/A
41,"Відомості про лікарські засоби/препарати, придбані за бюджетні кошти, відомості про розподілення таких ліків між закладами охорони здоров’я та їх залишки в кожному з них",Управління охорони здоров’я,"https://opendata.kremen.gov.ua/search/type/dataset?query=%D0%92%D1%96%D0%B4%D0%BE%D0%BC%D0%BE%D1%81%D1%82%D1%96%20%D0%BF%D1%80%D0%BE%20%D0%BB%D1%96%D0%BA%D0%B0%D1%80%D1%81%D1%8C%D0%BA%D1%96%20%D0%B7%D0%B0%D1%81%D0%BE%D0%B1%D0%B8
",N/A
42,"Бази даних щодо ремонту доріг: точне зазначення ділянки відремонтованої дороги (від кілометра до кілометра), ширина та довжина дороги, довжина ділянки, товщина дорожнього покриття, матеріали, види робіт, вартість робіт, гарантійний строк, виконавці робіт",Департамент житлово-комунального господарства,https://opendata.kremen.gov.ua/dataset/%D0%B1%D0%B0%D0%B7%D0%B0-%D0%B4%D0%B0%D0%BD%D0%B8%D1%85-%D1%89%D0%BE%D0%B4%D0%BE-%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%D1%83-%D0%B4%D0%BE%D1%80%D1%96%D0%B3,N/A
43,"Схеми планування територій громад та плани зонування територій (для сільських, селищних, міських рад)",Управління містобудування та архітектури,https://opendata.kremen.gov.ua/dataset/%D1%81%D1%85%D0%B5%D0%BC%D0%B8-%D0%BF%D0%BB%D0%B0%D0%BD%D1%83%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F-%D1%82%D0%B5%D1%80%D0%B8%D1%82%D0%BE%D1%80%D1%96%D0%B9-%D0%B3%D1%80%D0%BE%D0%BC%D0%B0%D0%B4-%D1%82%D0%B0-%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8-%D0%B7%D0%BE%D0%BD%D1%83%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F-%D1%82%D0%B5%D1%80%D0%B8%D1%82%D0%BE%D1%80%D1%96%D0%B9,N/A
44,Поіменні результати голосування депутатів на пленарних засіданнях органу місцевого самоврядування,Відділ інформаційно-комп'ютерних технологій,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%BE%D1%96%D0%BC%D0%B5%D0%BD%D0%BD%D1%96-%D1%80%D0%B5%D0%B7%D1%83%D0%BB%D1%8C%D1%82%D0%B0%D1%82%D0%B8-%D0%B3%D0%BE%D0%BB%D0%BE%D1%81%D1%83%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F-%D0%B4%D0%B5%D0%BF%D1%83%D1%82%D0%B0%D1%82%D1%96%D0%B2-%D0%BD%D0%B0-%D0%BF%D0%BB%D0%B5%D0%BD%D0%B0%D1%80%D0%BD%D0%B8%D1%85-%D0%B7%D0%B0%D1%81%D1%96%D0%B4%D0%B0%D0%BD%D0%BD%D1%8F%D1%85,N/A
45,"Дані про депутатів місцевих рад, у тому числі контактні дані та графік прийому",Управління запезпечення діяльності ради,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%B4%D0%B5%D0%BF%D1%83%D1%82%D0%B0%D1%82%D1%96%D0%B2-%D0%BA%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D1%87%D1%83%D1%86%D1%8C%D0%BA%D0%BE%D1%97-%D0%BC%D1%96%D1%81%D1%8C%D0%BA%D0%BE%D1%97-%D1%80%D0%B0%D0%B4%D0%B8,https://data.gov.ua/dataset/cff6be76-10ec-44ca-9ea2-da7623d5e1d4
46,"Дані про зелені насадження, що підлягають видаленню, відповідно до виданих актів обстеження зелених насаджень",Департамент житлово-комунального господарства,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%B7%D0%B5%D0%BB%D0%B5%D0%BD%D1%96-%D0%BD%D0%B0%D1%81%D0%B0%D0%B4%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F-%D1%89%D0%BE-%D0%BF%D1%96%D0%B4%D0%BB%D1%8F%D0%B3%D0%B0%D1%8E%D1%82%D1%8C-%D0%B2%D0%B8%D0%B4%D0%B0%D0%BB%D0%B5%D0%BD%D0%BD%D1%8E-%D0%B2%D1%96%D0%B4%D0%BF%D0%BE%D0%B2%D1%96%D0%B4%D0%BD%D0%BE-%D0%B4%D0%BE-%D0%B2%D0%B8%D0%B4%D0%B0%D0%BD%D0%B8%D1%85-%D0%B0%D0%BA%D1%82%D1%96%D0%B2-%D0%BE%D0%B1%D1%81%D1%82%D0%B5%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F,N/A
47,Надані містобудівні умови та обмеження,Управління містобудування та архітектури,https://opendata.kremen.gov.ua/dataset/%D0%BD%D0%B0%D0%B4%D0%B0%D0%BD%D1%96-%D0%BC%D1%96%D1%81%D1%82%D0%BE%D0%B1%D1%83%D0%B4%D1%96%D0%B2%D0%BD%D1%96-%D1%83%D0%BC%D0%BE%D0%B2%D0%B8-%D1%82%D0%B0-%D0%BE%D0%B1%D0%BC%D0%B5%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F ,N/A
48,Дані про доступність будівель для осіб з інвалідністю та інших маломобільних груп населення,Управління містобудування та архітектури,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%B4%D0%BE%D1%81%D1%82%D1%83%D0%BF%D0%BD%D1%96%D1%81%D1%82%D1%8C-%D0%B1%D1%83%D0%B4%D1%96%D0%B2%D0%B5%D0%BB%D1%8C-%D0%B4%D0%BB%D1%8F-%D0%BE%D1%81%D1%96%D0%B1-%D0%B7-%D1%96%D0%BD%D0%B2%D0%B0%D0%BB%D1%96%D0%B4%D0%BD%D1%96%D1%81%D1%82%D1%8E-%D1%82%D0%B0-%D1%96%D0%BD%D1%88%D0%B8%D1%85-%D0%BC%D0%B0%D0%BB%D0%BE%D0%BC%D0%BE%D0%B1%D1%96%D0%BB%D1%8C%D0%BD%D0%B8%D1%85-%D0%B3%D1%80%D1%83%D0%BF-%D0%BD%D0%B0%D1%81%D0%B5%D0%BB%D0%B5%D0%BD%D0%BD%D1%8F,N/A
49,Дані про тарифи на комунальні послуги,Управління економіки,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D1%82%D0%B0%D1%80%D0%B8%D1%84%D0%B8-%D0%BD%D0%B0-%D0%BA%D0%BE%D0%BC%D1%83%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%96-%D0%BF%D0%BE%D1%81%D0%BB%D1%83%D0%B3%D0%B8,N/A
50,"Дані про надходження звернень на гарячі лінії, у аварійно-диспетчерські служби, телефонні центри тощо",Відділ оперативного контролю за станом в місті,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%BD%D0%B0%D0%B4%D1%85%D0%BE%D0%B4%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F-%D0%B7%D0%B2%D0%B5%D1%80%D0%BD%D0%B5%D0%BD%D1%8C-%D0%BD%D0%B0-%D0%B3%D0%B0%D1%80%D1%8F%D1%87%D1%83-%D0%BB%D1%96%D0%BD%D1%96%D1%8E,N/A
51,"Дані про електронні петиції, у тому числі, осіб, що їх підписали, та результати розгляду",Управління по роботі зі зверненнями громадян,https://opendata.kremen.gov.ua/dataset/%D1%96%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D1%96%D1%8F-%D0%BF%D1%80%D0%BE-%D0%BD%D0%B0%D0%B4%D1%85%D0%BE%D0%B4%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F-%D0%B5%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D0%BD%D0%BD%D0%B8%D1%85-%D0%BF%D0%B5%D1%82%D0%B8%D1%86%D1%96%D0%B9-%D1%83-%D1%96-%D0%BF%D1%96%D0%B2%D1%80%D1%96%D1%87%D1%87%D1%96-2019-%D1%80%D0%BE%D0%BA%D1%83,N/A
52,"Дані громадського бюджету, бюджету участі тощо, у тому числі про проекти, результати голосування, реалізацію підтриманих проектів",Відділ з питань внутрішньої політики,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%B3%D1%80%D0%BE%D0%BC%D0%B0%D0%B4%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE-%D0%B1%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%D1%83-%D0%B1%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%D1%83-%D1%83%D1%87%D0%B0%D1%81%D1%82%D1%96-%D1%82%D0%BE%D1%89%D0%BE-%D1%83-%D1%82%D0%BE%D0%BC%D1%83-%D1%87%D0%B8%D1%81%D0%BB%D1%96-%D0%BF%D1%80%D0%BE-%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82%D0%B8-%D1%80%D0%B5%D0%B7%D1%83%D0%BB%D1%8C%D1%82%D0%B0%D1%82%D0%B8,N/A
53,"Перелік об’єктів комунальної власності, які підлягають приватизації",Управління міського майна,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D0%BE%D0%B1%D1%94%D0%BA%D1%82%D1%96%D0%B2-%D0%BA%D0%BE%D0%BC%D1%83%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D1%97-%D0%B2%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%96-%D1%8F%D0%BA%D1%96-%D0%BF%D1%96%D0%B4%D0%BB%D1%8F%D0%B3%D0%B0%D1%8E%D1%82%D1%8C-%D0%BF%D1%80%D0%B8%D0%B2%D0%B0%D1%82%D0%B8%D0%B7%D0%B0%D1%86%D1%96%D1%97,N/A
54,Адресний реєстр,Управління містобудування та архітектури,https://opendata.kremen.gov.ua/dataset/%D0%B0%D0%B4%D1%80%D0%B5%D1%81%D0%BD%D0%B8%D0%B9-%D1%80%D0%B5%D1%94%D1%81%D1%82%D1%80,N/A
55,Дані про надані адміністративні послуги,"Департамент ""Центр надання адміністративних послуг у місті Кременчуці""",https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%BD%D0%B0%D0%B4%D0%B0%D0%BD%D1%96-%D0%B0%D0%B4%D0%BC%D1%96%D0%BD%D1%96%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%B8%D0%B2%D0%BD%D1%96-%D0%BF%D0%BE%D1%81%D0%BB%D1%83%D0%B3%D0%B8,https://data.gov.ua/dataset/2f5debd4-a24b-4618-bd6b-945d36a6adc6
56,Дані про видані будівельні паспорти,Управління державного архітектурно-будівельного контролю,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%B2%D0%B8%D0%B4%D0%B0%D0%BD%D1%96-%D0%B1%D1%83%D0%B4%D1%96%D0%B2%D0%B5%D0%BB%D1%8C%D0%BD%D1%96-%D0%BF%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%D0%B8,N/A
57,Дані про медичних працівників закладів охорони здоров’я,Управління охорони здоров’я,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%BC%D0%B5%D0%B4%D0%B8%D1%87%D0%BD%D0%B8%D1%85-%D0%BF%D1%80%D0%B0%D1%86%D1%96%D0%B2%D0%BD%D0%B8%D0%BA%D1%96%D0%B2,N/A
58,Дані про педагогічних працівників закладів освіти,Департамент освіти,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%BF%D0%B5%D0%B4%D0%B0%D0%B3%D0%BE%D0%B3%D1%96%D1%87%D0%BD%D0%B8%D1%85-%D0%BF%D1%80%D0%B0%D1%86%D1%96%D0%B2%D0%BD%D0%B8%D0%BA%D1%96%D0%B2-%D0%B7%D0%B0%D0%BA%D0%BB%D0%B0%D0%B4%D1%96%D0%B2-%D0%B7%D0%B0%D0%B3%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D1%97-%D1%81%D0%B5%D1%80%D0%B5%D0%B4%D0%BD%D1%8C%D0%BE%D1%97-%D0%BE%D1%81%D0%B2%D1%96%D1%82%D0%B8-%D0%BC-%D0%BA%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D1%87%D1%83%D0%BA%D0%B0,N/A
59,Дані про медичне обладнання комунальних закладів охорони здоров’я,Управління охорони здоров’я,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%BC%D0%B5%D0%B4%D0%B8%D1%87%D0%BD%D0%B5-%D0%BE%D0%B1%D0%BB%D0%B0%D0%B4%D0%BD%D0%B0%D0%BD%D0%BD%D1%8F-%D0%BA%D0%BE%D0%BC%D1%83%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D1%85-%D0%B7%D0%B0%D0%BA%D0%BB%D0%B0%D0%B4%D1%96%D0%B2-%D0%BE%D1%85%D0%BE%D1%80%D0%BE%D0%BD%D0%B8-%D0%B7%D0%B4%D0%BB%D0%BE%D1%80%D0%BE%D0%B2%D1%8F,N/A
60,"Дані про розміщення спецтехніки, що використовується для надання комунальних послуг, благоустрою, здійснення будівельних та ремонтних робіт",Департамент житлово-комунального господарства,https://opendata.kremen.gov.ua/search/type/dataset?query=%D0%94%D0%B0%D0%BD%D1%96%20%D0%BF%D1%80%D0%BE%20%D1%80%D0%BE%D0%B7%D0%BC%D1%96%D1%89%D0%B5%D0%BD%D0%BD%D1%8F%20%D1%81%D0%BF%D0%B5%D1%86%D1%82%D0%B5%D1%85%D0%BD%D1%96%D0%BA%D0%B8 ,N/A
61,"Перелік бюджетних програм, у тому числі посилання на оприлюднені ресурси в Інтернеті",Департамент фінансів,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%D0%B8-%D0%B1%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%D0%BD%D0%B8%D1%85-%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC-%D0%BD%D0%B0-2019-%D1%80%D1%96%D0%BA-0,N/A
62,"Перелік цільових програм, у тому числі посилання на оприлюднені ресурси в Інтернеті",Управління економіки,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D1%86%D1%96%D0%BB%D1%8C%D0%BE%D0%B2%D0%B8%D1%85-%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC-%D1%83-%D1%82%D0%BE%D0%BC%D1%83-%D1%87%D0%B8%D1%81%D0%BB%D1%96-%D0%BF%D0%BE%D1%81%D0%B8%D0%BB%D0%B0%D0%BD%D0%BD%D1%8F-%D0%BD%D0%B0-%D0%BE%D0%BF%D1%80%D0%B8%D0%BB%D1%8E%D0%B4%D0%BD%D0%B5%D0%BD%D1%96-%D1%80%D0%B5%D1%81%D1%83%D1%80%D1%81%D0%B8-%D0%B2-%D1%96%D0%BD%D1%82%D0%B5%D1%80%D0%BD%D0%B5%D1%82%D1%96,N/A
63,Перелік розпорядників бюджетних коштів,Департамент фінансів,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D1%80%D0%BE%D0%B7%D0%BF%D0%BE%D1%80%D1%8F%D0%B4%D0%BD%D0%B8%D0%BA%D1%96%D0%B2-%D0%B1%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%D0%BD%D0%B8%D1%85-%D0%BA%D0%BE%D1%88%D1%82%D1%96%D0%B2,N/A
64,Фінансова звітність суб’єктів господарювання комунального сектору економіки,Департамент фінансів,https://opendata.kremen.gov.ua/dataset/%D1%84%D1%96%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B0-%D0%B7%D0%B2%D1%96%D1%82%D0%BD%D1%96%D1%81%D1%82%D1%8C-%D1%81%D1%83%D0%B1%E2%80%99%D1%94%D0%BA%D1%82%D1%96%D0%B2-%D0%B3%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%B0%D1%80%D1%8E%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F-%D0%BA%D0%BE%D0%BC%D1%83%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B3%D0%BE-%D1%81%D0%B5%D0%BA%D1%82%D0%BE%D1%80%D1%83-%D0%B5%D0%BA%D0%BE%D0%BD%D0%BE%D0%BC%D1%96%D0%BA%D0%B8,N/A
